"Order Number","رقم الأمر"
"How many prices show on the product listing only applies to reservation type products that use rental pricing. For example if you set to 2, then the first 2 price period would show like:<br/>1 day $5<br/>1 week $10<br/>If you set to 3, then it would show 3 of the price periods.","كيف تظهر العديد من الأسعار في قائمة المنتجات ينطبق فقط على نوع حجز المنتجات التي تستخدم أسعار الإيجار. على سبيل المثال إذا قمت بتعيين إلى 2، ثم أول الفترة 2 السعر سوف تظهر مثل: <br/> 1 يوم 5 $ <br/> 1 أسبوع 10 $ <br/> إذا قمت بتعيين إلى 3، بعد ذلك سوف تظهر 3 من الفترات السعر."
"-1 means all price points","-1 يعني كل نقطة السعر"
"Show next available date","تظهر البيانات المتوفرة المقبل"
"Sort Price List by Period","ترتيب قائمة الأسعار من قبل فترة"
"Sort Price List Type","ترتيب قائمة السعر نوع"
"Show prices in table format on product view","عرض الأسعار في شكل جدول على وجهة نظر المنتج"
"Show buyout price on listing page","سعر عرض الاستحواذ على الصفحة الإدراج"
"Hide time period numbers from product info page","أرقام الفترة إخفاء الساعة من صفحة معلومات عن المنتج"
"Product Details Page","تفاصيل المنتج الصفحة"
"Additional time period display preference","وقت إضافي عرض الفترة تفضيل"
"Store Hours / Holidays / Blackout Dates","متجر ساعات / عطلات / تواريخ التعتيم"
"Time Increment On Time Of Day Drop Down Fields","وقت الاضافة على الوقت من اليوم الحقول أسفل قطرة"
"How is time shown on calendar. If set to yes AM/PM is used.","كيف هي الوقت الذي يظهر على التقويم. إذا اخترت نعم AM / PM المستخدم."
"Store Open Time","متجر الوقت المفتوحة"
"What time your store opens. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"In hh:mm:ss format","في HH: MM: SS شكل"
"Store Close Time","مخزن إغلاق الوقت"
"What time your store closes. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Monday","تخزين المفتوحة وقت الاثنين"
"What time your store opens on Monday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك يوم الاثنين. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Monday","مخزن إغلاق الوقت الاثنين"
"What time your store closes Monday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الاثنين. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Tuesday","تخزين المفتوحة الوقت الثلاثاء"
"What time your store opens Tuesday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الثلاثاء. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Tuesday","مخزن إغلاق الوقت الثلاثاء"
"Store Open Time Wednesday","تخزين المفتوحة وقت الاربعاء"
"What time your store opens Wednesday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الاربعاء. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Wednesday","مخزن إغلاق الوقت الأربعاء"
"Store Open Time Thursday","تخزين المفتوحة الوقت الخميس"
"What time your store opens Thursday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الخميس. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Thursday","مخزن إغلاق الوقت الخميس"
"What time your store closes Thursday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الخميس. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Friday","تخزين المفتوحة وقت الجمعة"
"What time your store opens Friday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الجمعة. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Friday","مخزن إغلاق الوقت الجمعة"
"What time your store closes Friday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الجمعة. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Saturday","تخزين المفتوحة الوقت السبت"
"What time your store opens Saturday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك السبت. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Saturday","مخزن إغلاق الوقت السبت"
"What time your store closes Saturday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك السبت. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Store Open Time Sunday","تخزين المفتوحة الوقت الأحد"
"What time your store opens Sunday. This is used for the time of day drop down for rental start time if enabled","وقت ما يفتح متجرك الاحد. يستخدم هذا الوقت من اليوم المنسدلة لوقت بدء الإيجار إذا مكن"
"Store Close Time Sunday","مخزن إغلاق الوقت الأحد"
"What time your store closes Sunday. This is used for the time of day drop down for the rental end time if enabled","وقت ما يغلق متجرك الاحد. يستخدم هذا الوقت من اليوم المنسدلة للمرة نهاية الإيجار إذا مكن"
"Exclude Dates From Price or Calendar or Turnover","استبعاد تواريخ من الأسعار أو التقويم أو دوران"
"This can be used for holidays (exclude from calendar) or dates that you do not want to charge for (exclude from price)","ويمكن استخدام هذه لقضاء العطلات (استبعاد من التقويم) أو التواريخ التي لا تريد لتوجيه الاتهام ل(استبعاد من السعر)"
"<b>Exclude from calendar:</b> Means it will not be selectable on the calendar.<br /><b>Exclude from price:</b> Means this date is not included in price calculation.<br /><b>Exclude from turnover:</b> if set to yes, this means these dates will not count as turnover time. Example: you have turnover time set to 1 day after and you have a rental from January 1 - 2. You have January 3 as a blockout date excluded from Turnover. So January 4 and 5 would be your turnover days (will not use January 3) and next available rental date is January 6.","<b>استبعاد من التقويم: وسائل</b> لن يكون اختيارها على التقويم. <br /> <b>استبعاد من السعر: وسائل</b> لم يتم تضمين هذا التاريخ في حساب السعر. <br /> <b>استبعاد من دوران:</b> إن كانت القيمة نعم، وهذا يعني أن هذه التواريخ لا يعد بمثابة دوران الساعة. على سبيل المثال: لديك الوقت دوران تعيينها إلى 1 بعد يوم وكان لديك استئجار من 1 يناير - 2. لديك 3 يناير موعدا blockout استبعادها من قيمة التداول. حتى 4 يناير و 5 سيكون يوم التداول الخاص بك (لن استخدام 3 يناير) والقادم تاريخ الإيجار المتاح هو 6 يناير."
"Disabled Days of week for start date","يوم للمعاقين من الأسبوع لتاريخ بدء"
"Disabled Days of week for end date","يوم للمعاقين من الأسبوع لتاريخ انتهاء"
"Disabled Days of week for both start date and end date","يوم للمعاقين الأسبوع لكل تاريخ بداية ونهاية التاريخ"
"Exclude disabled days of week from price, calendar, turnover","استبعاد أيام المعوقين الأسبوع من السعر، والتقويم، والدوران"
"Emails","رسائل البريد الإلكتروني"
"Send Return Reminder Emails","إرسال رسائل البريد الإلكتروني العودة تذكير"
"Days before rental is due to send return reminder","أيام قبل استئجار ومن المقرر أن ترسل تذكرة عودة"
"Return Reminder Template","قالب تذكير عودة"
"Send Return Confirmation Emails","إرسال رسائل البريد الإلكتروني تأكيد العودة"
"Return Confirmation Email Template","قالب البريد الإلكتروني تأكيد عودة"
"Rental Calendar","التقويم الإيجار"
"Rental Calendar Widget","تأجير التقويم القطعة"
"Select Dates","تحديد التواريخ"
"Use Times","استخدام تايمز"
"Category ID","معرف الفئة"
"Category ID. The GO button will ALWAYS redirect to this category","معرف الفئة. على زر GO توجيه دوما إلى هذه الفئة"
"Template","قالب"
"Sidebar Template","قالب الشريط الجانبي"
"Shopping Cart Template","قالب سلة التسوق"
"Cache Lifetime (Seconds)","مخبأ عمر (ثانية)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 افتراضيا، إذا لم يحدد بعد. لتحديث على الفور، قم بإلغاء تحديد الناتج مخبأ كتل HTML."
"Dropoff / Pickup Dates","تواريخ يتجمعوا / بيك أب"
"Change product type","تغيير نوع المنتج"
"Simple to Reservation","بسيطة لالحجز"
"Reservation to Simple","التحفظ على بسيط"
"Total Inventory","إجمالي المخزون"
"Qty Booked","الكمية حجز"
"Qty Available","الكمية المتوفرة"
"Date Filter","تاريخ تصفية"
"ID","هوية شخصية"
"Qty Ordered","الكمية المطلوبة"
"Ship Date","تاريخ الشحن"
"Qty Returned","الكمية المرتجعة"
"Serials Returned","المسلسلات إرجاعها"
"Return items","الأصناف المرتجعة"
"Are you sure you want to return selected items?","هل أنت متأكد أنك تريد إرجاع العناصر المحددة؟"
"Reserved Qty","محفوظة الكمية"
"Shipped Qty","شحن الكمية"
"Max Qty To Return","ماكس الكمية للعودة"
"Order Id","رقم التعريف الخاص بالطلب"
"Qty To Return","الكمية للعودة"
"Serial","مسلسل"
"Serials Shipped","المسلسلات التي يتم شحنها"
"Qty Shipped","الكمية يشحن"
"Send","إرسال"
"Send items","إرسال البنود"
"Are you sure you wan't to send selected items?","هل أنت متأكد أنك wan&#39;t لإرسال العناصر المحددة؟"
"Max Qty To Ship","ماكس الكمية إلى السفينة"
"Qty To Ship","الكمية إلى السفينة"
"Reservation Information","معلومات الحجز"
"Is From Order","هو من ترتيب"
"Add New Reservation","إضافة الحجز الجديد"
"Is Order","هو ترتيب"
