"Order Number","จำนวนการสั่งซื้อ"
"Month","เดือน"
"Year","ปี"
"We found a duplicate website, tier price, customer group and quantity.","เราพบเว็บไซต์ที่ซ้ำกันราคาชั้นกลุ่มลูกค้าและปริมาณ"
"Group price must be a number greater than 0.","ราคากลุ่มต้องเป็นตัวเลขที่มากกว่า 0"
"We found a duplicate serial number.","เราพบหมายเลขที่ซ้ำกัน"
"Per Product","ต่อผลิตภัณฑ์"
"For all","สำหรับทุกอย่าง"
"Monday","วันจันทร์"
"Tuesday","วันอังคาร"
"Wednesday","วันพุธ"
"Thursday","วันพฤหัสบดี"
"Friday","วันศุกร์"
"Saturday","วันเสาร์"
"Sunday","วันอาทิตย์"
"Not Pro-Rated","ไม่ได้ปันส่วน"
"Pro-Rated","ปันส่วน"
"Reservation (Calendar)","การจองห้องพัก (ปฏิทิน)"
"Disabled","พิการ"
"Available","ที่มีจำหน่าย"
"Out","ออก"
"Maintenance","ซ่อมบำรุง"
"Broken","เสีย"
"Use Times With Grid","ใช้ครั้งด้วยกริด"
"Use Times No Grid. All Day is reserved","ใช้ไทม์ไม่มีกริด ตลอดทั้งวันมีลิขสิทธิ์"
"Times Disabled","ไทม์สำหรับผู้พิการ"
"+ price/period","+ ราคา / ระยะเวลา"
"Extra period: price","ช่วงต่อเวลาพิเศษ: ราคา"
"Hide additional price","ซ่อนราคาเพิ่มเติม"
"Two inputs for start end dates","สองปัจจัยที่ใช้สำหรับการเริ่มต้นวันที่สิ้นสุด"
"Always show","แสดงให้เห็นเสมอ"
"Regular Calendar On Product Page","ปฏิทินปกติในหน้าสินค้า"
"No Calendar On Product Page","ไม่มีปฏิทินในหน้าสินค้า"
"Fixed Rental Lengths - Choose Start Date(RTRW)","คงความยาวให้เช่า - เลือกวันเริ่มต้น (RTRW)"
"Fixed Rental Lengths - Start Date Is First Available Date","คงความยาวให้เช่า - วันที่เริ่มต้นวันแรกที่มีอยู่"
"Drop Down","หล่นลง"
"Radio Buttons","ปุ่ม"
"Show only price points","แสดงจุดราคาเพียง"
"Show price for Selected Global Dates","แสดงราคาได้เลือกวันที่ทั่วโลก"
"Show price points And Price for Selected Global Dates","แสดงจุดราคาและราคาที่เลือกสำหรับวันที่ทั่วโลก"
"Left Column","คอลัมน์ด้านซ้าย"
"Right Column","คอลัมน์ด้านขวา"
"Shopping Cart","รถเข็น"
"Per Order","ต่อคำสั่งซื้อ"
"ASC","ASC"
"DESC","DESC"
"Default","ค่าเริ่มต้น"
"Start","เริ่มต้น"
"Lightness","ความสว่าง"
"Darkness","ความมืด"
"Sunny","แดดจัด"
"Redmond","เรดมอนด์"
"Le Frog","Le กบ"
"Excite Bike","Excite Bike"
"Swanky Purse","กระเป๋าโก้เก๋"
"Pepper Grinder","เครื่องบดพริกไทย"
"Blitzer","บลิทเซอร์"
"Cupertino","คูเปอร์ติโน"
"Overcast","มืดครึ้ม"
"Black Tie","เน็คไทสีดำ"
"Dot Love","dot รัก"
"Hot Sneaks","ย่องร้อน"
"Custom Style 1","รูปแบบที่กำหนดเอง 1"
"Custom Style 2","รูปแบบที่กำหนดเอง 2"
"15 Minutes","15 นาที"
"30 Minutes","30 นาที"
"1 Hour","1 ชั่วโมง"
"Object with id "%1" does not exist.","วัตถุที่มีหมายเลข &quot;% 1&quot; ไม่ได้อยู่"
"Price for Selected Dates: ","ราคาสำหรับวันที่เลือก:"
"Buyout: ","การกู้ยืมเงิน:"
" Extra ","พิเศษ"
"if quantity is bigger than","ถ้าปริมาณมีขนาดใหญ่กว่า"
"and","และ"
"if quantity is lower than","ถ้าปริมาณต่ำกว่า"
"Price Excl. tax:","ราคาไม่รวม ภาษี:"
"Price Incl. tax:","ราคารวม ภาษี:"
"Price Excl. Tax:","ราคาไม่รวม ภาษี:"
"Pricing:","ราคา:"
"Discount: ","ส่วนลด:"
"Next Available:","ถัดไปที่มีอยู่:"
"Minimum Period:","ระยะเวลาขั้นต่ำ:"
"Maximum Period:","ระยะเวลาสูงสุด:"
"Quantity is different than the number of serials returned","ปริมาณที่แตกต่างกันกว่าจำนวน Serials กลับ"
"Start Date is disabled for the selected Dates","วันที่เริ่มต้นถูกปิดใช้งานสำหรับวันที่เลือก"
"End Date is disabled for the selected Dates","วันที่สิ้นสุดถูกปิดใช้งานสำหรับวันที่เลือก"
"There are booked dates in between selected dates","มีจองวันที่ในระหว่างวันที่คุณเลือก"
"There is not enough quantity for the selected dates","มีปริมาณไม่เพียงพอสำหรับวันที่คุณเลือก"
"Please select start and end date first","กรุณาเลือกเริ่มต้นและวันที่สิ้นสุดแรก"
"You must have same dates for all products in cart","คุณต้องมีวันเดียวกันสำหรับผลิตภัณฑ์ทั้งหมดในรถเข็นสินค้า"
"Selected Dates are disabled!","เลือกวันใช้งานไม่ได้!"
"Selected dates should be in the maximum period allowed!","เลือกวันควรจะอยู่ในระยะเวลาสูงสุดที่ได้รับอนุญาต!"
"Selected dates should be in the minimum period allowed!","เลือกวันควรจะอยู่ในระยะเวลาขั้นต่ำที่ได้รับอนุญาต!"
"Rent","ให้เช่า"
"Buyout","การกู้ยืมเงิน"
"Return","กล้บ"
"Configure","กำหนดค่า"
"Product with id "%1" does not contain required attribute "%2".","สินค้าที่มี ID &quot;% 1&quot; ไม่ได้มีแอตทริบิวต์ที่จำเป็น &quot;% 2&quot;"
"Products "%1" and "%2" have the same set of attribute values.","ผลิตภัณฑ์ &quot;% 1&quot; และ &quot;% 2&quot; มีชุดเดียวกันค่าแอตทริบิวต์"
"Next Available Date: ","ถัดไปวันที่:"
" No","ไม่"
" Yes +%s","ใช่ +% s"
"Edit","แก้ไข"
"If set to yes shipping is disabled for this product","หากการตั้งค่าการจัดส่งสินค้าใช่ถูกปิดใช้งานสำหรับสินค้านี้"
"Use Config Settings","ใช้การตั้งค่าการกำหนดค่า"
"Use quantity and period. Format is like 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second. You can also use quantities other than 1 like 5d = 5 days","ใช้ปริมาณและระยะเวลา รูปแบบเป็นเหมือน 1D = 1 วัน, 1W = 1 สัปดาห์, 1M = 1 เดือน, 1 เมตร = 1 นาที 1H = 1 ชั่วโมง 1Y = 1 ปี, 1s = 1 วินาที นอกจากนี้คุณยังสามารถใช้ปริมาณอื่น ๆ กว่า 1 เหมือน 5D = 5 วัน"
"Excluded Days of the week","วันยกเว้นของสัปดาห์"
"ALL GROUPS","ทุกกลุ่ม"
"All Websites","เว็บไซต์ทั้งหมด"
"Reservation Price","จองห้องพักราคา"
"Website","เว็บไซต์"
"Customer Group","กลุ่มลูกค้า"
"Period","ระยะเวลา"
"Price Additional","ราคาเพิ่มเติม"
"Period Additional","ระยะเวลาเพิ่มเติม"
"Qty Start","จำนวนเริ่มต้น"
"Qty End","จำนวน End"
"Excluded Dates for this specific product. 
                When you do not want to include times in the dates check the all day checkbox.","วันที่ได้รับการยกเว้นสำหรับผลิตภัณฑ์นี้โดยเฉพาะ เมื่อคุณไม่ต้องการที่จะรวมครั้งในวันที่ตรวจสอบช่องทำทุกวัน"
"Excluded Dates","วันที่ได้รับการยกเว้น"
"Date From","เริ่มจากวันที่"
"Date To","ถึงวันที่"
"Day of Week","วันของสัปดาห์"
"Repeat Period","ระยะเวลาการทำซ้ำ"
"Serial Numbers","หมายเลข serial"
"Notes","หมายเหตุ"
"Date Acquired","วันที่ได้มา"
"If set to yes Global Excluded Dates defined in config will be used","หากการตั้งค่าวันที่ใช่ทั่วโลกยกเว้นที่กำหนดไว้ในการตั้งค่าจะถูกนำมาใช้"
"If set to yes Serial Numbers are used. Serial numbers number should be equal to the qty","หากการตั้งค่าหมายเลข Serial ใช่ถูกนำมาใช้ จำนวนหมายเลข serial ควรจะเท่ากับจำนวน"
"Rental Contact","ติดต่อเช่า"
"per page","ต่อหน้า"
"Previous page","หน้าเดิม"
"of %1","% 1"
"Next page","หน้าต่อไป"
"Rental Dates And Pickup/Drop Off Information","วันที่เช่าและรถกระบะ / Drop Off ข้อมูล"
"Rental Dates","วันที่เช่า"
"Pickup/Drop Off Dates","รถกระบะ / Drop Off วัน"
"Add after","หลังจากเพิ่ม"
"Delete","ลบ"
"GO","ไป"
"Legend","ตำนาน"
"Turnover Before","ผลประกอบการก่อน"
"Turnover After","ผลประกอบการหลังจากที่"
"Send Date","ส่งวัน"
"Selected","เลือก"
"Unavailable","ใช้งานไม่ได้"
"Return Date","วันกลับ"
"SKU","SKU"
"%name,","%ชื่อ,"
"Thank you for your order from %store_name.","ขอบคุณสำหรับการสั่งซื้อของคุณจาก STORE_NAME%"
"You can check the status of your order by <a href="%account_url">logging into your account</a>.","คุณสามารถตรวจสอบสถานะการสั่งซื้อของคุณโดยการ <a href="%account_url">เข้าสู่ระบบบัญชีของคุณ</a>"
"If you have questions about your order, you can email us at <a href="mailto:%store_email">%store_email</a>","หากคุณมีคำถามเกี่ยวกับคำสั่งของคุณคุณสามารถส่ง email มาที่ <a href="mailto:%store_email">% store_email</a>"
"or call us at <a href="tel:%store_phone">%store_phone</a>","หรือโทรหาเราที่ <a href="tel:%store_phone">% store_phone</a>"
"Our hours are <span class="no-link">%store_hours</span>.","ชั่วโมงของเรามี <span class="no-link">store_hours%</span>"
"Your Invoice #%invoice_id for Order #%order_id","ใบแจ้งหนี้ของคุณ #% invoice_id สำหรับใบสั่งซื้อ #% order_id"
"Billing Info","ข้อมูลการเรียกเก็บเงิน"
"Shipping Info","ข้อมูลการจัดส่งสินค้า"
"Payment Method","วิธีการชำระเงิน"
"Shipping Method","วิธีการจัดส่งสินค้า"
"Enter Valid Period","เลือกระยะเวลาที่ถูกต้อง"
"Enter valid period","เลือกระยะเวลาที่ถูกต้อง"
"Select","เลือก"
"Sales Igniter","ทำให้ลุกไหม้ขาย"
"Current Version Installed","เวอร์ชันปัจจุบันติดตั้ง"
"Current Version","รุ่นปัจจุบัน"
"Calendar Options","ตัวเลือกปฏิทิน"
"Theme Style","สไตล์ธีม"
"How pricing will show on listing","วิธีการกำหนดราคาที่จะแสดงในรายการ"
"Selected dates on a product will be kept all over the site.","เลือกวันในผลิตภัณฑ์จะถูกเก็บไว้ทั่วเว็บไซต์"
"Max / Min Rental Period","แม็กซ์ / นาทีระยะเวลาการเช่า"
"Minimum Period","ระยะเวลาขั้นต่ำ"
"Format: 1d = 1 day, 1w = 1 week, 1M = 1 month, 1m = 1 minute, 1h = 1 hour, 1y = 1 Year, 1s = 1 second","รูปแบบ: 1D = 1 วัน, 1W = 1 สัปดาห์, 1M = 1 เดือน, 1 เมตร = 1 นาที 1H = 1 ชั่วโมง 1Y = 1 ปี, 1s = 1 วินาที"
"Maximum Period","ระยะเวลาสูงสุด"
"Show minimum and maximum rental period on product details page","แสดงขั้นต่ำและระยะเวลาการเช่าสูงสุดในหน้ารายละเอียดสินค้า"
"Turnover Time and Rental Start Padding","อัตราการหมุนเวียนของเวลาและให้เช่าเริ่มต้น Padding"
"Show turnovers on calendar","แสดงหลากสีในปฏิทิน"
"Start date padding","วันที่เริ่มต้น padding"
"How long before a rental is started is the inventory not available for. This is to account for cleaning, shipping, etc. For example if rental starts on May 15 and this is set to 2 days, then the inventory will not be available for May 13 and 14","นานแค่ไหนก่อนที่จะเช่าจะเริ่มต้นเป็นสินค้าคงคลังไม่สามารถใช้ได้สำหรับ นี้คือการบัญชีสำหรับการทำความสะอาดจัดส่ง ฯลฯ ตัวอย่างเช่นถ้าเช่าเริ่มต้นวันที่ 15 พฤษภาคมนี้และกำหนดเป็น 2 วันแล้วสินค้าคงคลังจะไม่สามารถใช้ได้ 13 พฤษภาคมและ 14"
"How long after a rental is returned is it not available for. This is to account for cleaning, shipping, etc. For example if the rental ends on June 1 and turnover after is set to 2 days, then the inventory will not be available on June 2 and 3","นานหลังจากที่เช่าจะถูกส่งกลับวิธีการที่จะไม่สามารถใช้ได้สำหรับ นี้คือการบัญชีสำหรับการทำความสะอาดจัดส่ง ฯลฯ ตัวอย่างเช่นถ้าเช่าจะสิ้นสุดลงวันที่ 1 มิถุนายนและผลประกอบการหลังจากที่มีการกำหนดเป็น 2 วันแล้วสินค้าคงคลังจะไม่สามารถใช้ได้ในวันที่ 2 มิถุนายนและ 3"
"Reserve inventory without any invoice","สินค้าคงคลังสำรองโดยไม่ต้องใบแจ้งหนี้ใด ๆ"
"Reserve inventory by Status","สินค้าคงคลังสำรองตามสถานภาพ"
"Reserve inventory starting with the send date","สำรองสินค้าคงคลังที่เริ่มต้นด้วยวันที่ส่ง"
"Reserve inventory ending with return date","สินค้าคงคลังสำรองลงท้ายด้วยวันกลับ"
"Reserve inventory until the item is returned in inventory","สำรองสินค้าคงคลังจนกว่ารายการจะถูกส่งกลับในสินค้าคงคลัง"
"Allow Overbooking for all products","อนุญาตให้จองมากกว่าจำนวนที่สำหรับผลิตภัณฑ์ทั้งหมด"
"Admin is allowed to overbook all products","ผู้ดูแลระบบได้รับอนุญาตให้จองมากกว่าจำนวนสินค้าทั้งหมด"
"If Admin is allowed to overbook then a warning will show if overbooking","หากผู้ดูแลระบบได้รับอนุญาตให้จองมากกว่าจำนวนที่แล้วเตือนจะแสดงว่าจองมากกว่าจำนวน"
"Pricing","การตั้งราคา"
"Add to price calculation number","เพิ่มจำนวนในการกำหนดราคาการคำนวณ"
"Category / Listing Page","Category / หน้ารายชื่อ"
"Number of price points to show","จำนวนของจุดที่จะแสดงราคา"
"How many prices show on the product listing only applies to reservation type products that use rental pricing. For example if you set to 2, then the first 2 price period would show like:<br/>1 day $5<br/>1 week $10<br/>If you set to 3, then it would show 3 of the price periods.","วิธีการหลายราคาแสดงบนสินค้ารายการเดียวที่ใช้กับผลิตภัณฑ์ประเภทการสำรองห้องพักที่ใช้กำหนดราคาเช่า ตัวอย่างเช่นถ้าคุณตั้งค่าเป็น 2 จากนั้นในช่วงเวลา 2 ราคาแรกที่จะแสดงที่ชอบ: <br/> 1 วันที่ 5 $ <br/> 1 สัปดาห์ที่ $ 10 <br/> ถ้าคุณตั้งค่า 3 แล้วมันจะแสดง 3 งวดราคา"
"-1 means all price points","-1 หมายถึงทุกจุดราคา"
"Show next available date","แสดงวันถัดไป"
"Sort Price List by Period","รายการราคาเรียงตามระยะเวลา"
"Sort Price List Type","ประเภทการจัดเรียงรายการราคา"
"Show prices in table format on product view","แสดงราคาในรูปแบบตารางในมุมมองสินค้า"
"Show buyout price on listing page","แสดงราคาซื้อทันทีบนหน้ารายชื่อ"
"Hide time period numbers from product info page","หมายเลขระยะเวลาซ่อนเวลาจากหน้าข้อมูลสินค้า"
"Product Details Page","รายละเอียดสินค้าหน้า"
"Additional time period display preference","เวลาเพิ่มเติมการตั้งค่าการแสดงผลระยะเวลา"
"Store Hours / Holidays / Blackout Dates","ร้านชั่วโมง / วันหยุด / วันที่มืดมน"
"Time Increment On Time Of Day Drop Down Fields","เวลาเพิ่มค่ากับเวลาของวันฟิลด์แบบเลื่อนลง"
"How is time shown on calendar. If set to yes AM/PM is used.","เวลาเป็นวิธีการแสดงบนปฏิทิน หากการตั้งค่าใช่ AM / PM ถูกนำมาใช้"
"Store Open Time","ร้านเปิดเวลา"
"What time your store opens. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"In hh:mm:ss format","ใน HH: MM: SS"
"Store Close Time","ร้านปิดเวลา"
"What time your store closes. This is used for the time of day drop down for the rental end time if enabled","สิ่งที่เวลาปิดร้านค้าของคุณ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Store Open Time Monday","เก็บเวลาเปิดทำการวันจันทร์"
"What time your store opens on Monday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณในวันจันทร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Monday","ร้านปิดเวลาจันทร์"
"What time your store closes Monday. This is used for the time of day drop down for the rental end time if enabled","อะไรเวลาที่ร้านค้าของคุณปิดจันทร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Store Open Time Tuesday","เก็บเวลาเปิดบริการวันอังคาร"
"What time your store opens Tuesday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณอังคาร นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Tuesday","ร้านปิดเวลาอังคาร"
"Store Open Time Wednesday","เก็บเวลาเปิดพุธ"
"What time your store opens Wednesday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณพุธ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Wednesday","ร้านปิดเวลาพุธ"
"Store Open Time Thursday","เก็บเวลาเปิดพฤหัสบดี"
"What time your store opens Thursday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณพฤหัสบดี นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Thursday","ร้านปิดวันพฤหัสบดีเวลา"
"What time your store closes Thursday. This is used for the time of day drop down for the rental end time if enabled","อะไรเวลาที่ร้านค้าของคุณปิดพฤหัสบดี นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Store Open Time Friday","เก็บเวลาเปิดศุกร์"
"What time your store opens Friday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณศุกร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Friday","ร้านปิดเวลาศุกร์"
"What time your store closes Friday. This is used for the time of day drop down for the rental end time if enabled","อะไรเวลาที่ร้านค้าของคุณปิดศุกร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Store Open Time Saturday","เก็บเวลาเปิดเสาร์"
"What time your store opens Saturday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณเสาร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Saturday","ร้านปิดเวลาเสาร์"
"What time your store closes Saturday. This is used for the time of day drop down for the rental end time if enabled","อะไรเวลาที่ร้านค้าของคุณปิดเสาร์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Store Open Time Sunday","เก็บเวลาเปิดอาทิตย์"
"What time your store opens Sunday. This is used for the time of day drop down for rental start time if enabled","สิ่งที่เวลาเปิดร้านค้าของคุณอาทิตย์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาเริ่มต้นเช่าถ้าเปิดใช้งาน"
"Store Close Time Sunday","ร้านปิดเวลาอาทิตย์"
"What time your store closes Sunday. This is used for the time of day drop down for the rental end time if enabled","สิ่งที่เวลาปิดร้านค้าของคุณอาทิตย์ นี้จะใช้สำหรับช่วงเวลาของวันหล่นลงสำหรับเวลาสิ้นสุดเช่าถ้าเปิดใช้งาน"
"Exclude Dates From Price or Calendar or Turnover","ยกเว้นวันที่จากราคาหรือปฏิทินหรือการหมุนเวียน"
"This can be used for holidays (exclude from calendar) or dates that you do not want to charge for (exclude from price)","นี้สามารถใช้สำหรับวันหยุดพักผ่อน (แยกออกจากปฏิทิน) หรือวันที่คุณไม่ต้องการที่จะเรียกเก็บค่าบริการ (ไม่รวมราคา)"
"<b>Exclude from calendar:</b> Means it will not be selectable on the calendar.<br /><b>Exclude from price:</b> Means this date is not included in price calculation.<br /><b>Exclude from turnover:</b> if set to yes, this means these dates will not count as turnover time. Example: you have turnover time set to 1 day after and you have a rental from January 1 - 2. You have January 3 as a blockout date excluded from Turnover. So January 4 and 5 would be your turnover days (will not use January 3) and next available rental date is January 6.","<b>แยกออกจากปฏิทิน:</b> หมายความว่ามันจะไม่สามารถเลือกได้ในปฏิทิน <br /> <b>แยกออกจากราคา:</b> หมายถึงวันนี้ไม่ได้รวมอยู่ในการคำนวณราคา <br /> <b>แยกออกจากผลประกอบการ:</b> ถ้าตั้งค่าใช่นี้หมายความว่าวันที่เหล่านี้จะไม่นับเป็นเวลาหมุนเวียน ตัวอย่าง: คุณมีเวลาที่ผลประกอบการตั้งค่าเป็น 1 วันหลังจากที่คุณมีให้เช่าตั้งแต่วันที่ 1 มกราคม - 2. คุณมี 3 มกราคมเป็นวัน Blockout การยกเว้นจากการหมุนเวียน ดังนั้นวันที่ 4 มกราคม 5 วันจะหมุนเวียนของคุณ (จะไม่ใช้ 3 มกราคม) และวันที่เช่าที่มีอยู่ต่อไปคือ 6 มกราคม"
"Disabled Days of week for start date","วันคนพิการของสัปดาห์สำหรับวันที่เริ่มต้น"
"Disabled Days of week for end date","วันคนพิการของสัปดาห์สำหรับวันที่สิ้นสุด"
"Disabled Days of week for both start date and end date","วันคนพิการของสัปดาห์สำหรับทั้งวันเริ่มต้นและวันที่สิ้นสุด"
"Exclude disabled days of week from price, calendar, turnover","ยกเว้นวันคนพิการของสัปดาห์จากราคาปฏิทินการหมุนเวียน"
"Emails","อีเมล"
"Send Return Reminder Emails","ส่งกลับอีเมลแจ้งเตือน"
"Days before rental is due to send return reminder","วันก่อนที่จะเช่าเป็นเพราะการส่งการแจ้งเตือนการกลับมา"
"Return Reminder Template","แม่แบบการแจ้งเตือนกลับมา"
"Send Return Confirmation Emails","ส่งอีเมล์ยืนยันการกลับมา"
"Return Confirmation Email Template","แม่แบบอีเมลยืนยันกลับมา"
"Rental Calendar","ปฏิทินเช่า"
"Rental Calendar Widget","วิดเจ็ตปฏิทินเช่า"
"Select Dates","เลือกวันที่"
"Use Times","ใช้ไทม์"
"Category ID","รหัสหมวดหมู่"
"Category ID. The GO button will ALWAYS redirect to this category","รหัสหมวดหมู่ ปุ่ม GO มักจะเปลี่ยนเส้นทางไปยังหมวดหมู่นี้"
"Template","แบบ"
"Sidebar Template","แม่แบบแถบด้านข้าง"
"Shopping Cart Template","แม่แบบรถเข็น"
"Cache Lifetime (Seconds)","อายุการใช้งานแคช (วินาที)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 โดยค่าเริ่มต้นถ้าไม่ได้ตั้งค่า เพื่อฟื้นฟูทันทีล้างแคชเอาท์พุทบล็อก HTML"
"Dropoff / Pickup Dates","วัน Dropoff / กระบะ"
"Change product type","เปลี่ยนประเภทสินค้า"
"Simple to Reservation","ง่ายๆในการจองห้องพัก"
"Reservation to Simple","การจองห้องพักแบบง่าย"
"Total Inventory","สินค้าคงคลังรวม"
"Qty Booked","จำนวนที่จองไว้"
"Qty Available","จำนวนที่มีอยู่"
"Date Filter","วันที่กรอง"
"ID","ID"
"Qty Ordered","จำนวนสั่งซื้อ"
"Ship Date","วันที่จัดส่ง"
"Qty Returned","จำนวนคืน"
"Serials Returned","Serials กลับ"
"Return items","กลับรายการ"
"Are you sure you want to return selected items?","คุณแน่ใจหรือไม่ว่าคุณต้องการที่จะกลับรายการที่เลือก?"
"Reserved Qty","สงวนไว้ซึ่งจำนวน"
"Shipped Qty","จัดส่งจำนวน"
